象限,対象国,類型,事象・噂の名称,実践内容・信じられている内容,社会的機能,心理的効果,[事実確認]学術的背景・反証,事例1：状況,事例1：表現,事例1：分析,事例2：状況,事例2：表現,事例2：分析,事例3：状況,事例3：表現,事例3：分析
第2象限,エストニア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,ラトビア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,リトアニア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,ウクライナ,【事実】,「Слава Укра?н?!（ウクライナに栄光あれ！）」の交歓,一方が「ウクライナに栄光あれ！」と言い、もう一方が「英雄たちに栄光あれ！」と返す。,民族的アイデンティティの表現、国民の強固な結びつき、愛国心の共有。,連帯感、誇り、国家存亡の危機に対する精神的団結。,元々は20世紀初頭の独立運動から使われていたが、2014年のマイダン革命や2022年のロシア侵攻以降、国民的スローガンとして完全に定着した。,集会や公式行事での挨拶,「Слава Укра?н?!」（ウクライナに栄光あれ！）,国家への忠誠と参加者同士の連帯を呼びかける。,それに対する群衆の返答,「Героям слава!」（英雄たちに栄光あれ！）,呼びかけに応え、国家のために戦う人々への敬意を共有する。,さらなる愛国心の唱和,「Слава нац??! Смерть ворогам!」（民族に栄光あれ！敵に死を！）,国民としての強い結びつきと、外敵への断固たる抗戦の意志の確認。
第3象限,フィンランド,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第3象限,エストニア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第3象限,ラトビア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第3象限,リトアニア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第3象限,ウクライナ,【事実】,「Москаль（モスカリ）」による排他と敵対,ロシア人やロシア帝国・国家に属する者を指す歴史的な蔑称を用いて、敵対心を表す。,敵対者の明確化、非難、内部の裏切り者への牽制。,怒りの表現、敵意の共有による闘争心の維持。,元々は「モスクワの（人）」を意味し、歴史的に支配に対する反発から生まれた。現在はロシア・ウクライナ戦争を背景に、強い非難や敵対の意図で使用される。,抗議集会やデモの場,"「Хто не скаче, той москаль!」（跳ばない奴はモスカリだ！）",同調しない者を敵視し、集団の闘争心を扇動する。,ロシア兵の接近や攻撃を伝える時,「Москал? йдуть.」（モスカリが来る。）,侵略者に対する敵対心と警戒心を直接的に表す。,ロシアのプロパガンダに同調する者を非難する時,「В?н справжн?й москаль.」（あいつは本物のモスカリだ。）,自国内の裏切り者や同調者をレッテル貼りし、社会的制裁を加える。
第4象限,フィンランド,【事実】,「バス停のフィンランド人」ジョーク,自国の人付き合いの悪さ（パーソナルスペースの広さ）を笑いのネタにし、ミームとして楽しむ。,過酷な環境や社会的な内向性に対するストレス解消、自己客観視。,笑いによる緊張緩和、共感、自虐的ユーモアを通じた連帯感。,フィンランド人が内向的であるというステレオタイプを逆手に取り、自らジョークにすることで心理的なバランスを保つ。,バス停で人が極端に離れて立っている写真を見て,「Suomalainen bussipys?kki.」（フィンランドのバス停。）,他人との過剰な距離感を視覚的に笑い飛ばす。,コロナ禍のソーシャルディスタンス（2m）政策について,「Miksi vain kaksi metri?? Viisi metri? on normaali.」（なぜ2メートルだけ？ 5メートルが普通なのに。）,社会のルールと自分たちの極端な国民性を対比させて笑いを取る。,見知らぬ人が隣に座りそうになった時の心中,「T?m? on minun henkil?kohtainen tilani.」（ここは私のパーソナルスペースだ。）,不快感を直接ぶつけず、ネット上でミーム化して不満を昇華する。
第4象限,エストニア,【事実】,「Kehv suusailm（悪いスキー日和）」ジョーク,夏でも寒くて雨が降っている悪天候を、「ただの悪いスキー日和だ」と自虐的に形容する。,厳しい自然環境に対する不満のガス抜き、状況の受容。,笑いによる緊張緩和、共感、諦念の共有。,エストニアの気候は夏でも冷涼で天候が不安定なことが多く、その過酷さをユーモアに変換する社会的知恵として広く使われている。,夏なのに大雨が降って寒い時,「T?na on lihtsalt kehv suusailm.」（今日はただの悪いスキー日和だね。）,期待外れの天気に対する不満を、的外れな例えで笑いに変える。,泥だらけの悪路を歩きながら,「Eesti suvi on nagu kehv suusailm.」（エストニアの夏は悪いスキー日和みたいなものだ。）,自国の気候の悪さを客観視し、諦めと共に受け入れる。,観光客に天候の悪さを指摘されて,「Meil on 12 kuud kehva suusailma.」（ここには12ヶ月間の悪いスキー日和があるんだ。）,自国の欠点を自ら誇張して見せることで、コミュニケーションを楽しむ。
第4象限,ラトビア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第4象限,リトアニア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第4象限,ウクライナ,【事実】,「ロシアの軍艦よ、くたばれ」のミーム化,ズミイヌイ島での国境警備隊の交信内容を、抵抗と反骨精神の象徴として、看板や切手、日常のジョークとして幅広く使用する。,恐怖や絶望感の笑いへの変換、敵対者への権威失墜、精神的レジリエンスの維持。,ストレスの軽減、圧倒的な連帯感、敵に対する心理的優位性の獲得。,2022年のロシア侵攻初期に発生した実際の交信記録。圧倒的な敵に対する無謀とも言える反抗の言葉が、ウクライナ国民の士気を爆発的に高めるミームとなった。,ズミイヌイ島でのロシア軍への降伏勧告に対する返答,"「Русский военный корабль, ?ди на хуй.」（ロシアの軍艦よ、くたばれ。）",絶望的な状況下での究極の拒絶と反骨精神の表現。,ロシアの攻撃を防いだ後や戦果を挙げた時のSNS投稿,「Курс ? на хуй.」（進路は、くたばれ。）,本来のフレーズを応用し、敵の敗退を嘲笑して士気を高める。,道路標識を書き換えてロシア軍を迷わせる工作,"「На хуй, знов на хуй, до Рос?? на хуй.」（くたばれ、またくたばれ、ロシアへくたばれ。）",実用的な妨害工作に強烈なユーモアと罵倒を交え、敵を翻弄する。
第1象限,ベラルーシ,【事実】,言語使用による政治的スタンスと階層の表明,ロシア語、純粋なベラルーシ語（Mova）、両者の混成語（トラシャンカ）のどれを話すかで、体制派か野党派か、または階層が自動的に決まるとされる不文律。,政治的踏み絵、社会階層の維持,同調圧力、体制への恐怖と服従,[事実確認] ベラルーシは極端なロシア化政策がとられており、公的な場で純粋なベラルーシ語を話すことは「野党支持」の政治的宣言とみなされるという社会言語学的事実がある。,官公庁や公的なビジネスの場,ロシア語の使用,体制への忠誠と「問題のない国民」であることの証明として機能する。,反政府デモや文化人の集会,Mova（純粋なベラルーシ語）の使用,ルカシェンコ体制のロシア化に対する抵抗と、民族的アイデンティティの誇示。,地方の日常会話や市場,トラシャンカ（露・白混成語）の使用,農村部出身であることや、特定の政治的イデオロギーを持たない庶民層であることを示す。
第2象限,ベラルーシ,【事実】,固有文字「?（ウー・カローツカエ）」のシンボル化,キリル文字圏でベラルーシ語にしか存在しない文字「?」を、民族の魂や独自性の象徴として特別視し、愛好する文化。,文化的保護、民族の連帯感の醸成,母語への愛着、連帯の喜び,[事実確認] 実際にポラツク市には「?」の記念碑が建立されており、ブランドロゴなどにも意図的に多用されるなど、言語学的な差異がナショナリズムの象徴へと昇華された実例である。,企業のロゴやブランド名のデザイン,「?」を強調したタイポグラフィ（例：? gallery）,ロシア語との違いを一目で視覚的にアピールし、ベラルーシ固有のブランドであることを強調。,土産物や衣服のデザイン,「?」がプリントされたTシャツの着用,言葉に出さずとも、同胞に対して自国の文化を愛しているという静かな連帯を示す。,公共の場でのシンボル,ポラツク市にある「?」の記念碑（Pomnik litaru ?）,言語の一部を物理的なモニュメントにすることで、共同体の歴史的遺産として崇拝する。
第3象限,ベラルーシ,【事実】,2020年抗議運動以降の政治的分断語（Zmahar / Yabatka）,国営メディアと反体制派が、互いを非人間化し、キャンセルするために特定のレッテル用語を日常的に使用する現象。,敵対グループの非正当化、自陣営の結束,憎悪の増幅、対話の拒絶,[事実確認] 2020年の大統領選の不正疑惑に端を発する抗議運動以降、社会が完全に二極化し、これらの新語・既存語の再定義が政治的ヘイトスピーチとして定着した。,国営メディアによる野党支持者の報道,Zmahar（ズマハール：本来は「闘士」の意）,体制側が「西側の操り人形」「過激派」という侮蔑的な意味に歪めて野党支持者を攻撃。,SNSでのルカシェンコ支持者への批判,Yabatka（ヤバチカ：「私はバチカ（大統領）を支持する」の略）,元は体制派のハッシュタグだったが、野党側が「思考停止した盲目的な独裁支持者」という蔑称として使用。,治安部隊（OMON）に対する言及,Krasavtsy（クラサーヴツィ：イケメンたち）,大統領が治安部隊を称賛した言葉を、野党側が「残虐な弾圧者」を意味する皮肉・蔑称として逆用。
第4象限,ベラルーシ,【事実】,独裁権力をからかうユーモアと言葉遊び（2020年デモ）,直接的な批判が逮捕に直結するため、不条理なニックネームやネットミームを用いて最高権力者を嘲笑する現象。,検閲の回避、恐怖心の払拭,カタルシス、心理的優位性の獲得,[事実確認] 権威主義体制下における古典的な抵抗手段（ユーモアによるガス抜き）であり、2020年のデモでは言語的創造性が爆発的に開花したことが多くの報道で確認されている。,大統領の支持率に関する話題,Sasha 3%（サーシャ・サンパーセント）,ネットの非公式調査での低い支持率を揶揄し、圧倒的勝利という国営報道を暗に否定する。,大統領の容姿や振る舞いへの言及,Tarakan（ゴキブリ）,ソ連時代の童話「ゴキブリ」になぞらえ、ヒゲを生やした大統領を「実は弱くて滑稽な存在」として笑い飛ばす。,国家の経済政策への批判,Krepkiy khozyaystvennik（屈強な現場監督）,ソ連型の有能な指導者を意味するクリシェを、経済を停滞させている現状への強烈な皮肉として用いる。
第1象限,ロシア,【都市伝説】,「Последний（最後の）」の忌避と「Крайний（端の）」の代用,「最後の」という意味の形容詞「ポスレドニー」を使うと、本当に人生の最後（死や終了）になってしまうと信じられ、代わりに「端の」を意味する「クライニー」を使用する偽マナー。,縁起担ぎ、集団内の不文律の強要,不安の解消、同調圧力,[事実確認] 民間語源および迷信。元々は航空・軍事関係者のジンクスだったが、一般社会に蔓延。言語学者は「文法的な誤用であり、不合理な迷信である」と強く非難している。,行列の最後尾を探すとき,「Kto krayniy?（端の人は誰ですか？）」,「最後の人は誰？」と聞くことで、その人の人生が終わってしまうような不吉なニュアンスを避ける。,仕事や任務の区切りについて話すとき,「Eto krayniy raz（これが端の回だ）」,「これが最後だ」と言うことで、二度とその機会が訪れない（または死ぬ）という自己実現的予言を防ぐ。,パイロットや危険な職業の会話,「Krayniy polyot（端のフライト）」,「最後のフライト」という表現が墜落を連想させるため、極度の恐怖心を和らげるための業界用語が日常化した。
第2象限,ロシア,【事実】,過剰な指小辞（ディミニュティヴ）の使用,水、お茶、切符などの通常名詞に「～チカ」「～ク」などの指小辞（縮小辞）を付けて、対象を小さく可愛らしいものとして表現する言語実践。,社会的距離の縮小、敵意がないことの証明,親近感、場の空気の軟化,[事実確認] ロシア語は形態論的に指小辞が極めて豊かであり、接客業や友人間の会話で、要求のトゲを抜き、共感を示す語用論的戦略として実際に広く用いられている。,カフェや食堂での注文,「Chayku（お茶ちゃんを少し）」,「お茶をくれ」という直接的な命令を避け、ささやかで控えめな要求であることを示して店員との摩擦を減らす。,バスや電車でのやり取り,「Biletik（切符ちゃん）」,見知らぬ乗客や車掌に対し、友友好で敵意のないトーンを作り出し、日常のストレスを緩和する。,カジュアルな挨拶,「Privetik（こんにちはちゃん）」,通常の挨拶よりも遊び心と親密さを含ませ、仲間内での連帯感とアハ体験を共有する。
第3象限,ロシア,【事実】,"政治的分断を表すレッテル用語（Vatnik, Sovok）",政治的立場の異なる集団に対して、服装や日用品に由来する侮蔑的な造語を投げつけ、相手の知性や歴史観を否定する実践。,他者の非人間化、政治的対立の明確化,優越感、分断による自己正当化,[事実確認] 2010年代以降のロシアのインターネット・政治空間で発生した現象。特定の政治的信念を持つ人々をステレオタイプ化し、議論を封殺する機能として社会学的に分析されている。,熱狂的な親政府・愛国主義者への批判,Vatnik（綿入れジャケット）,ソ連の粗末な防寒着に由来。体制のプロパガンダを盲信し、貧しく教養のない愛国者を嘲笑する。,ソ連時代を美化する高齢層への批判,Sovok（ちりとり）,ソ連（Sovyetsky）に発音が似ていることに由来。全体主義的な精神構造から抜け出せない人々を「ゴミを集める道具」として軽蔑。,リベラルや野党支持者への攻撃,Liberalast（リベララスト）,リベラルと「ペデラスト（男色家）」を組み合わせた同性愛嫌悪的な造語。西側思想を持つ者を道徳的堕落者としてキャンセルする。
第4象限,ロシア,【事実】,放送禁止用語（マット）のユーモラスな回避・置換（Eufemizmy）,法規制や社会的タブーにより直接言えない卑猥な罵倒語（マット）を、発音が似ている全く無害な単語（植物や虫など）に置き換えて発話する言葉遊び。,検閲の回避、ストレスの合法的な発散,笑いによる怒りの昇華、緊張緩和,[事実確認] ロシア語のマットは公的空間やメディアで法的に厳しく罰せられるため、言語的制約を逆手にとった膨大な数のユーモラスな代替語（エウフェミズム）が発達した。,公衆の面前で強い不満を感じたとき,Blyakha-mukha（ベルトのバックルのハエ）,重度のタブー語である「Blyad（売春婦／クソッ）」の音感を模倣しつつ、無意味な言葉の組み合わせで怒りを笑いに変える。,子供の前で物を落としたとき,Yolki-palki（モミの木と棒切れ）,「Yob tvoyu mat（母親を犯せ）」という極めて強い罵倒語の頭文字「Yo」を使い、植物の名前にすり替えて場を和ませる。,絶望的な失敗をしたとき,Pipets（ピペッツ）,最悪の事態を意味する「Pizdets（女性器由来の罵倒）」に似た無害な響きの造語を使い、悲惨な状況を自嘲気味に楽しむ。
第1象限,ポーランド,【事実】,Pan/Pani（敬称）の厳格な運用とヒエラルキー維持,相手を「Pan（男性）」または「Pani（女性）」と呼び、動詞を三人称単数で活用させる厳格な敬語システム。これを怠ると極めて無礼とされる。,社会的距離と敬意の維持、上下関係の明確化,秩序の安心感、無礼に対する怒り,[事実確認] ポーランド語の語用論における中核的な特徴。西欧の貴族文化に由来し、初対面や公的な関係ではこの形式を崩すことは重大なマナー違反（Faux pas）となる。,大学や病院などの権威ある場,Panie Profesorze（教授殿） / Panie Doktorze（先生殿）,Pan/Paniにさらに職業や学位の呼称を重ねることで、相手の社会的地位を明確に承認し、ヒエラルキーを守る。,ビジネスでの初対面のやり取り,Pani Anno（アンナ様）,ファーストネームであってもPaniをつけることで、「親しみやすさ」と「越えてはならない壁」を同時に提示する。,関係が深まり、敬語を外す儀式,Przejd?my na ty（「君」で呼び合いましょう）,年長者や上位者からこの提案がない限り、勝手に親称（Ty）を使うことは許されないという厳格なルールが存在する。
第2象限,ポーランド,【都市伝説】,首都ワルシャワの民間語源（WarsとSawa）,首都ワルシャワ（Warszawa）という名前は、昔ヴィスワ川のほとりに住んでいた漁師の「Wars（ワルス）」と、彼を助けた人魚の「Sawa（サヴァ）」が結ばれたことに由来するという伝説。,郷土愛の育成、都市のロマンチックな神話化,都市への愛着、連帯感と誇り,[事実確認] 民間語源（都市伝説）。言語学的には、実在した騎士や貴族の「Warsz（ワルシュ）」の所有格（Warszの土地）に由来することが証明されているが、人魚伝説の方が広く愛されている。,観光地でのガイドや歴史の紹介,「Wars i Sawaの伝説の地」,史実よりもロマンチックな愛の物語を語ることで、訪問者に都市への情緒的なアハ体験を提供する。,児童教育や絵本の読み聞かせ,「Legenda o Warsie i Sawie」,子供たちに建国の神話を教えることで、ポーランド人としての民族的なルーツや連帯感を育む。,都市のブランディングやビジネス,「Sawa」という名前を冠したホテルや企業,人魚のサヴァの名前をビジネスに用いることで、ワルシャワの地元企業であることを美しくアピールする。
第3象限,ポーランド,【事実】,"ステレオタイプに基づく分断的ラベリング（Janusz, Moher）",特定の世代や階層を象徴する「名前」や「服装」をネットスラングとして用い、相手のライフスタイルや政治信条を嘲笑・分断する現象。,世代間・階層間ギャップの可視化、他者の嘲笑,優越感、社会的フラストレーションの投影,[事実確認] ポスト共産主義のポーランド社会における急速な資本主義化と価値観の変化が生み出した社会現象。言語学や社会学の論文で、現代の階層分断の表象として頻繁に研究されている。,教養がないとされる中年男性の揶揄,Janusz（ヤヌシュ）,ビニール袋を持ち、ケチで自己中心的なステレオタイプの中年男性を指す。古い価値観の労働者階級を見下す際に使われる。,保守的で熱狂的なカトリック高齢女性への批判,Moherowe berety（モヘアのベレー帽）,特定の右派カトリック系ラジオ局を支持する高齢女性がよく被る帽子に由来。リベラル層が保守層を時代遅れだと攻撃する。,権利ばかり主張する中年女性の揶揄,Gra?yna（グラジナ）,Januszの女性版。スーパーマーケットでクレーマーになるような、無教養で利己的な女性のステレオタイプとして消費される。
第4象限,ポーランド,【事実】,共産主義体制下のバクロニム（頭字語の皮肉な再解釈）,共産主義時代（PRL時代）、国家機関や党の公式な略称（頭字語）に、全く別の侮蔑的な単語を当てはめて裏の意味を持たせるジョーク。,権威の失墜、政治的抑圧に対する知的な抵抗,カタルシス、反体制の秘密の連帯,[事実確認] 全体主義体制下における古典的な言語的抵抗運動（ユーモア）。市民が検閲を逃れつつ、国家の理不尽さを笑いに変えるための社会的安全弁として機能していた歴史的事実。,支配政党（PZPR：ポーランド統一労働者党）の揶揄,P?atni Zdrajcy Pacho?ki Rosji（金で買われた裏切り者、ロシアの犬）,PZPRという公式略称を、ソ連の傀儡政権であることを痛烈に批判する文章の頭文字として読み替える。,市民警察（MO：Milicja Obywatelska）の揶揄,Mog? Obi?（彼らは殴ることができる）,国民を守るはずの警察が、実際には市民への暴力を振るう弾圧機関であることを短い2語で皮肉る。,警察の予備隊（ORMO）の揶揄,Oni R?wnie? Mog? Obi?（奴らもまた殴ることができる）,正規の警察だけでなく、ボランティアの予備隊までが体制の暴力装置であることを論理的なオチとして笑う。
第1象限,チェコ,【事実】,Vyk?n?（敬語）とTyk?n?（親称）の厳格な境界と移行ルール,相手を「あなた（Vy）」と呼ぶか「君（Ty）」と呼ぶかの境界が極めて厳格で、その移行（Tyk?n?への移行）は上位者・年長者・女性からしか提案できないという不文律。,社会的ヒエラルキーの可視化、礼儀の強制,秩序の維持、境界を踏み越えることへの恐れ,[事実確認] チェコ語の語用論における絶対的なルール。この順序を間違えること（下位者からTyk?n?を提案したり、無断でTyを使うこと）は、社会人としての適性を疑われるほどの重大なマナー違反となる。,職場での上司と部下のコミュニケーション,Pane ?editeli（社長殿：Vyk?n?での会話）,どれほど親しくなっても、公の場やビジネス関係が継続している限り、Vyk?n?（Vy）を維持することで組織の秩序を守る。,関係が深まった際の儀式的な提案,Nab?dnout tyk?n?（Tyk?n?を提案する）,必ず「女性から男性へ」「年長者から年少者へ」という明確な権力のベクトルに従ってのみ、敬語の壁を壊す許可が下りる。,目下の者が無断でTyk?n?を使ったとき,My si tyk?me?（私たちはTyで呼び合う関係でしたか？）,Tyk?n?のルールを無視した者に対して、冷たくVyk?n?を用いて明確に拒絶し、社会的距離とヒエラルキーを再構築する。
第2象限,チェコ,【事実】,ブルノ地方の都市隠語「Hantec（ハンテツ）」,チェコ第2の都市ブルノにおいて、ドイツ語やロマ語が混ざった独特のスラング（Hantec）を使用し、プラハ（首都）とは違う独自のアイデンティティをアピールする実践。,地域コミュニティの結束、首都の標準語に対する対抗,強い郷土愛、仲間意識（イングループ・バイアス）,[事実確認] 元々は19世紀のブルノの下層階級の隠語（アルゴ）だったが、現在ではモラヴィア地方の誇りを示す文化的遺産として辞書が編纂されるほど愛好されている社会言語学的事実。,街中での交通機関の話題,?alina（シャリナ：路面電車）,標準チェコ語の「Tramvaj」を使わず、ドイツ語の「Elektrische Linie」に由来するこの語を使うことでブルノ市民であることを即座に証明する。,週末に出かける場所の相談,?tatl（シュタトル：街の中心部）,ドイツ語の「Stadt」に由来。プラハの人間には通じにくい言葉をあえて使うことで、地元民同士の秘密の連帯感を生む。,パブでビールを飲むときの声かけ,?kopek（シュコペク：ビール）,標準語の「Pivo」ではなく、労働者階級の荒々しさと親しみやすさを含んだこの言葉で、気取らない絆を確認し合う。
第3象限,チェコ,【事実】,"政治的分断を煽るレトリック（Kav?rna, Slun??k??）",ポピュリスト政治家や保守層が、都市部のリベラル層や知識人を軽蔑し、一般大衆との間に分断を引くために意図的に使うレッテル用語。,反知性主義の煽動、エリート対大衆の構図の作成,社会的憎悪の正当化、排他性,[事実確認] ミロシュ・ゼマン元大統領などが演説で多用したことで定着した現代チェコ政治の現象。リベラル層を「現実を知らない偽善者」としてキャンセルする機能を持つ。,都市部の知識人やメディアへの批判,Pra?sk? kav?rna（プラハのカフェ）,「カフェで優雅に議論するだけで、地方の現実や労働者の苦しみを知らない傲慢なエリート」という非難を込めた蔑称。,人権活動家や進歩的価値観を持つ人への攻撃,Slun??k??（お日様主義者 / お花畑）,難民受け入れやマイノリティの権利を主張する人々を、「世界を美化しすぎているおめでたい偽善者」として嘲笑する言葉。,ヴァーツラフ・ハヴェル元大統領の支持者への揶揄,Pravdol?ska?（真実と愛の人）,ハヴェルの名言「真実と愛は嘘と憎しみに打ち勝つ」を逆手に取り、理想主義者を「現実離れしたバカ」として皮肉る。
第4象限,チェコ,【事実】,政治指導者を嘲笑するあだ名文化（?vejkov?n?）,政治家のスキャンダルや外見的特徴、過去の疑惑に基づいて辛辣なあだ名を付け、権威を徹底的に引きずり下ろすチェコ特有のダークユーモアの伝統。,権威の相対化、無力感のユーモアによる昇華,カタルシス、政治的ストレスのガス抜き,[事実確認] チェコ文学の代表作『兵士シュヴェイクの冒険』に代表される、受動的攻撃やブラックジョークで権力に抵抗する「シュヴェイク主義」の現代的発露として知られる事実。,ゼマン元大統領の健康問題や容姿への揶揄,Ovar（茹でた豚の頭肉）,恰幅の良さと不摂生なイメージを、脂っこいチェコの伝統的な居酒屋料理に例え、国家元首の威厳を完全に剥奪する。,バビシュ前首相の過去の疑惑への攻撃,Bure?（ブレシュ）,共産主義時代に彼が秘密警察（StB）に協力していたとされる際の「暗号名」。彼がクリーンな政治家を気取るたびにこの名で呼び、偽善を暴く。,クラウス元大統領のナルシシズムへの当てこすり,Kikina（キキナ）,彼の傲慢な態度や、プライベートな噂に対する当てこすりとして一部の反対派が使用した女性的な響きのニックネーム。
第1象限,スロバキア,【事実】,チェコ語からの借用語（ボヘミズム）排除の不文律,日常会話や公的な場でチェコ語の単語や表現（ボヘミズム）を使用することが「間違い」として厳しく訂正され、純粋なスロバキア語の使用が求められる文化。,言語的独立性の維持、大国（チェコ）からの同化の防止,愛国心、正しい言葉を使わないことへの羞恥心,[事実確認] スロバキアは歴史的にチェコ語の強い影響下にあったため、言語学研究所などが主導して「正しいスロバキア語」の規範を厳格に規定・啓発している事実がある。,別れの挨拶での無意識の混同,「Na shledanou（チェコ語）」ではなく「Dovidenia」を使う,チェコ語の挨拶をうっかり使うと、「ここはスロバキアだ」とたしなめられ、正しいスロバキア語の規範を守るよう圧力がかかる。,日常的な食材の名前の訂正,「Brambory（チェコ語）」ではなく「Zemiaky（じゃがいも）」,テレビやメディアでチェコ語の語彙が使われると、視聴者や言語学者から「言語の純粋性が損なわれる」とクレームが入る。,公的な会話やメディアでの単語の訂正,「D?ky（チェコ語）」ではなく「?akujem（スロバキア語）」を使う,日常的に混同されやすいチェコ語の単語を意図的に排除し、スロバキア語の純粋性と国家の独立性をアピールする。
第2象限,スロバキア,【事実】,東部スロバキア方言（V?chod?ar?ina）による連帯,首都ブラチスラヴァ（西部）に働きに出た東部スロバキア出身者たちが、同郷の人間と会った際に意図的に強い東部方言を使い、絆を確かめ合う実践。,地域アイデンティティの保持、首都の文化への同化抵抗,ノスタルジー、圧倒的なイングループの安心感,[事実確認] スロバキアの東部方言は標準語と語彙やアクセントが大きく異なり、社会言語学的に「東部人の強い郷土愛と連帯のマーカー」として機能している事実がある。,同意や相槌を打つとき,Ta ne（タ・ネ：そうだね、もちろん）,標準語にはないこの短いフレーズを発するだけで、即座に「自分たちは東部の人間だ」というアハ体験と共感が生まれる。,素晴らしいもの、クールなものを褒めるとき,Dzive（ジヴェ：ヤバい、最高）,若者や同郷者の間で、首都の洗練された言葉へのアンチテーゼとして、土着のエネルギーに満ちた言葉をあえて使う。,酒を飲んでパーティーをするとき,Basavel（バサヴェル：大騒ぎ、宴会）,東部のロマ文化の影響も受けたこの言葉を使い、故郷特有のワイルドで楽しい空気を都会の中で再現する。
第3象限,スロバキア,【事実】,"現代政治の分断語（Dezol?t, Slnie?kar, Kaviare?）",近年の選挙やコロナ禍、ウクライナ戦争などの危機において、自由主義陣営とポピュリスト陣営が互いを人間以下の存在としてキャンセルし合うレッテル用語。,社会の部族化、対立候補・支持者の道徳的失墜,憎悪、対話の完全な断絶,[事実確認] スロバキア社会の深刻な分極化を象徴する現象。メディア論や政治学の分野で、これらの言葉がいかに社会の亀裂を修復不可能にしているかが議論されている。,陰謀論者や親ロシア派への攻撃,Dezol?t（デゾラート：荒廃した奴、クズ）,リベラル層が、反ワクチンや親ロシアのデモに参加する人々を「底辺の無教養なゴミ」として徹底的に見下す際に使う。,進歩主義者やリベラル層への嘲笑,Slnie?kar（スルニエチュカル：お日様主義者）,保守・ポピュリスト層が、環境問題やLGBTQの権利を主張する人々を「現実を見ないお花畑の偽善者」としてキャンセルする。,首都の知識人階級への非難,Bratislavsk? kaviare?（ブラチスラヴァのカフェ）,地方の労働者に向けて、「首都で高いコーヒーを飲みながら庶民の生活を破壊しているエリートたち」という憎悪を煽る。
第4象限,スロバキア,【事実】,政治家の失言や虚栄心をからかうミーム化（Dankov?iny）,支離滅裂な発言や虚栄心を見せる政治家（主にアンドレイ・ダンコ元国会議長）の言葉をそのまま流行語としてネット上で遊び倒す現象。,政治的フラストレーションのガス抜き、ネット上の遊戯,カタルシス、権威に対する心理的優位性の獲得,[事実確認] アンドレイ・ダンコをはじめとする政治家の言語的誤りや不条理な発言がSNSでミーム化され、「Dankov?iny」として社会的に広く共有されていることは事実である。,彼が自らを大尉に昇進させた事件を揶揄するとき,Kapit?n Danko（キャプテン・ダンコ）,政治権力を使った身内びいきの昇進を逆手に取り、軍の称号を用いて彼の虚栄心を嘲笑する。,テレビ討論での意味不明な発言を引用するとき,"?iaden ?lovek nedok??e da? to?ko l?sky ?loveku, ako dok??e da? len ?lovek ?loveku.（人間が人間に与え得るほどの愛を、人間に与えられる人間はいない）",彼の実際の迷言を日常会話でそのまま繰り返すことで、その知的能力を滑稽なエンタメとして消費する。,権威主義的な奇行をからかうとき,Bozk?vam v?lo?ky（私は肩章にキスをする）,ダンコが軍の肩章にキスした際の映像と言葉をミーム化し、体制側の権威主義を完全に無害なお笑いに引き下げる。
